epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,927.021,1.38366,3.31799,1.7312,1.40767,0,0.52609,0.47241,0.45414,0.28858,0.5234,0.47165,0.44684,0.25019,1.30355,2.57508,1.51206,1.29836,0,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707
80,936.221,1.39262,3.30287,1.74226,1.41409,0,0.5211,0.47293,0.45665,0.28886,0.5088,0.47086,0.44369,0.24902,1.29937,2.57732,1.50676,1.29605,0,0.000594213,0.000198071,0.000594213,0.000198071,0.000594213,0.000198071,0.000594213,0.000198071
81,945.087,1.38398,3.32724,1.71832,1.41058,0,0.53738,0.45145,0.46137,0.29114,0.55747,0.42359,0.45087,0.25094,1.29957,2.58113,1.504,1.29737,0,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
82,954.271,1.36979,3.24972,1.71287,1.38911,0,0.4695,0.5125,0.46336,0.29286,0.46011,0.494,0.45448,0.25353,1.29551,2.59021,1.5058,1.29571,0,0.000540219,0.000180073,0.000540219,0.000180073,0.000540219,0.000180073,0.000540219,0.000180073
83,963.31,1.40724,3.32364,1.72665,1.42015,0,0.48686,0.52064,0.46338,0.2943,0.48474,0.50859,0.45415,0.25437,1.30039,2.57955,1.51174,1.29829,0,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074,0.000513221,0.000171074
84,975.28,1.38532,3.31291,1.70954,1.40098,0,0.46562,0.52521,0.46267,0.29488,0.46294,0.51666,0.45545,0.25405,1.30475,2.57533,1.51522,1.30094,0,0.000486224,0.000162075,0.000486224,0.000162075,0.000486224,0.000162075,0.000486224,0.000162075
85,996.107,1.41374,3.35947,1.73896,1.41671,0,0.47593,0.51787,0.46461,0.29773,0.47564,0.51277,0.45591,0.25394,1.30789,2.56358,1.50864,1.30403,0,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076,0.000459227,0.000153076
86,1007.25,1.37956,3.27504,1.70355,1.4012,0,0.51179,0.51223,0.46815,0.29877,0.51689,0.4984,0.45924,0.25489,1.30178,2.56305,1.5079,1.30105,0,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077
87,1016.54,1.38263,3.30676,1.6962,1.40008,0,0.51446,0.50651,0.46679,0.29616,0.51287,0.4993,0.45862,0.25557,1.30174,2.56488,1.51143,1.29895,0,0.000405232,0.000135077,0.000405232,0.000135077,0.000405232,0.000135077,0.000405232,0.000135077
88,1025.8,1.37902,3.27716,1.7058,1.39853,0,0.49494,0.51003,0.46049,0.2947,0.48765,0.49704,0.45202,0.25301,1.29938,2.57581,1.51006,1.29873,0,0.000378235,0.000126078,0.000378235,0.000126078,0.000378235,0.000126078,0.000378235,0.000126078
89,1034.57,1.3693,3.24884,1.69719,1.3931,0,0.47663,0.53705,0.46082,0.29461,0.47903,0.49651,0.45383,0.25372,1.29733,2.56933,1.50567,1.29516,0,0.000351238,0.000117079,0.000351238,0.000117079,0.000351238,0.000117079,0.000351238,0.000117079
90,1043.77,1.38574,3.30069,1.71611,1.41188,0,0.49096,0.52339,0.46375,0.29573,0.48296,0.51266,0.456,0.25412,1.30455,2.57631,1.50654,1.29742,0,0.00032424,0.00010808,0.00032424,0.00010808,0.00032424,0.00010808,0.00032424,0.00010808
